1115,聊城市,137,1,0,0
1116,即墨市,1106,1,1,1
1201,太原市,114,1,0,0
1202,大同市,114,1,0,0
1203,朔州市,114,1,0,0
1204,阳泉市,114,1,0,0
1205,晋城市,114,1,0,0
1206,长治市,114,1,0,0
1207,晋中市,114,1,0,0
1208,榆次区,1207,1,1,1
1209,侯马市,1211,1,1,1
1210,运城市,114,1,0,0
1211,临汾市,114,1,0,0
1212,清徐县,1201,1,1,1
1213,古交市,1201,1,1,1
1214,阳曲县,1201,1,1,1
1215,孝义市,11410,1,1,1
1216,汾阳市,11410,1,0,0
1217,祁县,1207,1,1,1
1218,太谷县,1207,1,1,1
1219,平遥县,1207,1,1,1
1220,介休市,1207,1,1,1
1221,交城县,11410,1,1,1
1222,文水县,11410,1,1,1
1223,离石区,11410,1,1,1
1224,忻州市,114,1,0,0
1225,原平市,1224,1,1,1
1302,咸阳市,161,1,0,0
1303,榆林市,161,1,0,0
1304,安康市,161,1,0,0
1305,渭南市,161,1,0,0
1306,延安市,161,1,0,0
1307,宝鸡市,161,1,0,0
1308,汉中市,161,1,0,0
1309,铜川市,161,1,0,0
1310,华县,1305,1,0,0
1401,郑州市,141,1,0,0
1402,三门峡市,141,1,0,0
1403,洛阳市,141,1,0,0
1404,焦作市,141,1,0,0
1405,新乡市,141,1,0,0
1406,安阳市,141,1,0,0
1407,漯河市,141,1,0,0
1408,开封市,141,1,0,0
1409,许昌市,141,1,0,0
1410,信阳市,141,1,0,0
1411,鹤壁市,141,1,0,0
1412,商丘市,141,1,0,0
1413,平顶山市,141,1,0,0
1414,濮阳市,141,1,0,0
1415,南阳市,141,1,0,0
1416,驻马店市,141,1,0,0
1501,合肥市,134,1,0,0
1502,淮北市,134,1,0,0
1503,淮南市,134,1,0,0
1504,亳州市,134,1,0,0
1505,滁州市,134,1,0,0
1506,蚌埠市,134,1,0,0
1507,黄山市,134,1,0,0
1508,芜湖市,134,1,0,0
1509,宿州市,134,1,0,0
1510,马鞍山市,134,1,0,0
1511,巢湖市,134,1,0,0
1512,贵池区,1519,1,1,1
1513,阜阳市,134,1,0,0
1514,铜陵市,134,1,0,0
1515,宣城市,134,1,0,0
1516,安庆市,134,1,0,0
1517,明光市,1505,1,0,0
1519,池州市,134,1,0,0
1521,六安市,134,1,0,0
1601,南京市,132,1,0,0
1602,苏州市,132,1,0,0
1603,徐州市,132,1,0,0
1604,连云港市,132,1,0,0
1605,宿迁市,132,1,0,0
1606,淮安市,132,1,0,0
1607,无锡市,132,1,0,0
1608,常州市,132,1,0,0
1609,镇江市,132,1,0,0
1610,扬州市,132,1,0,0
1611,江阴市,1607,1,1,1
1612,泰州市,132,1,0,0
1613,兴化市,1612,1,0,0
1614,泰兴市,1612,1,0,0
1615,靖江市,1612,1,0,0
1616,姜堰市,1612,1,0,0
1617,丹阳市,1609,1,0,0
1618,丹徒区,1609,1,0,0
1619,昆山市,1602,1,1,1
1620,南通市,132,1,0,0
1621,张家港市,1602,1,1,1
1622,江都市,1610,1,0,0
1623,沭阳县,1605,1,0,0
1624,淮阴区,1606,1,1,1
1625,邳州市,1603,1,0,0
1702,十堰市,142,1,0,0
1704,荆门市,142,1,0,0
1705,孝感市,142,1,0,0
1706,襄樊市,142,1,0,0
1707,仙桃市,142,1,1,1
1708,黄石市,142,1,0,0
1709,宜昌市,142,1,0,0
1710,鄂州市,142,1,0,0
1711,武穴市,1712,1,1,1
1712,黄冈市,142,1,0,0
1713,咸宁市,142,1,0,0
1714,荆州市,142,1,0,0
1801,长沙市,143,1,0,0
1802,张家界市,143,1,0,0
1803,湘潭市,143,1,0,0
1804,怀化市,143,1,0,0
1805,常德市,143,1,0,0
1806,益阳市,143,1,0,0
1807,岳阳市,143,1,0,0
1808,衡阳市,143,1,0,0
1809,郴州市,143,1,0,0
1810,邵阳市,143,1,0,0
1811,株洲市,143,1,0,0
1812,娄底市,143,1,0,0
1901,杭州市,133,1,0,0
1902,湖州市,133,1,0,0
1903,嘉兴市,133,1,0,0
1904,舟山市,133,1,0,0
1905,宁波市,133,1,0,0
1906,温州市,133,1,0,0
1907,瑞安市,1906,1,1,1
1908,衢州市,133,1,0,0
1909,永康市,1910,1,1,1
1910,金华市,133,1,0,0
1911,建德市,1901,1,0,0
1912,温岭市,1939,1,1,1
1913,乐清市,1906,1,1,1
1914,绍兴市,133,1,0,0
1915,江山市,1908,1,0,0
1916,上虞市,1914,1,1,1
1917,嵊州市,1914,1,1,1
1918,兰溪市,1910,1,1,1
1920,余姚市,1905,1,1,1
1921,慈溪市,1905,1,1,1
1922,象山县,1905,1,1,1
1923,黄岩区,1939,1,1,1
1924,椒江区,1939,1,1,1
1925,路桥区,1939,1,1,1
1926,新昌县,1914,1,1,1
1927,诸暨市,1914,1,1,1
1928,义乌市,1910,1,1,1
1929,东阳市,1910,1,1,1
1930,嘉善县,1903,1,1,1
1931,桐乡市,1903,1,1,1
1932,海宁市,1903,1,1,1
1933,滨江区,1901,1,1,1
1934,宁海县,1905,1,1,1
1935,永嘉县,1906,1,1,1
1936,平湖市,1903,1,1,1
1937,海盐县,1903,1,1,1
1938,浦江县,1910,1,1,1
1939,台州市,133,1,0,0
1940,临海市,1939,1,1,1
1941,天台县,1939,1,1,1
1942,仙居县,1939,1,1,1
1943,丽水市,133,1,0,0
1944,德清县,1902,1,1,1
1945,长兴县,1902,1,1,1
1946,安吉县,1902,1,1,1
1947,杭州郊县,1901,0,0,0
1948,富阳市,1901,1,1,1
1949,临安市,1901,1,1,1
1950,桐庐县,1901,1,1,1
1951,淳安县,1901,1,0,0
2001,南昌市,136,1,0,0
2002,九江市,136,1,0,0
2003,景德镇市,136,1,0,0
2004,鹰潭市,136,1,0,0
2005,新余市,136,1,0,0
2006,萍乡市,136,1,0,0
2007,吉安市,136,1,0,0
2008,赣州市,136,1,0,0
2009,抚州市,136,1,0,0
2010,井冈山市,2007,1,0,0
2011,上饶市,136,1,0,0
2012,宜春市,136,1,0,0
2013,贵溪市,2004,1,0,0
2014,南昌县,2001,1,1,1
2015,湾里区,2001,1,1,1
2016,新建县,2001,1,1,1
2101,福州市,135,1,0,0
2102,三明市,135,1,0,0
2103,莆田市,135,1,0,0
2104,泉州市,135,1,0,0
2105,厦门市,135,1,0,0
2106,漳州市,135,1,0,0
